tier,namespace,type,wpf_ctor_sig
3,System.Windows.Annotations.Storage,XmlStreamStore,"public XmlStreamStore(System.IO.Stream stream, System.Collections.Generic.IDictionary<System.Uri, System.Collections.Generic.IList<System.Uri>> knownNamespaces)"
3,System.Windows.Automation.Peers,AutomationPeer,protected AutomationPeer()
3,System.Windows.Automation.Peers,ContentElementAutomationPeer,public ContentElementAutomationPeer(System.Windows.ContentElement owner)
3,System.Windows.Ink,StrokeCollection,public StrokeCollection(System.IO.Stream stream)
3,System.Windows.Interop,D3DImage,"public D3DImage(double dpiX, double dpiY)"
3,System.Windows.Interop,HwndSource,"public HwndSource(int classStyle, int style, int exStyle, int x, int y, int width, int height, string name, System.IntPtr parent, bool adjustSizingForNonClientArea)"
3,System.Windows.Media.Media3D,ScaleTransform3D,public ScaleTransform3D(System.Windows.Media.Media3D.Vector3D scale)
3,System.Windows.Media.Media3D,ScaleTransform3D,"public ScaleTransform3D(System.Windows.Media.Media3D.Vector3D scale, System.Windows.Media.Media3D.Point3D center)"
3,System.Windows.Navigation,JournalEntry,"protected JournalEntry(System.Runtime.Serialization.SerializationInfo info, System.Runtime.Serialization.StreamingContext context)"
3,System.Windows.Navigation,PageFunction<T>,public PageFunction()
3,System.Windows.Navigation,RequestNavigateEventArgs,protected RequestNavigateEventArgs()
3,System.Windows.Shell,JumpItemsRejectedEventArgs,public JumpItemsRejectedEventArgs()
3,System.Windows.Shell,JumpItemsRemovedEventArgs,public JumpItemsRemovedEventArgs()
3,System.Windows.Shell,JumpList,"public JumpList(System.Collections.Generic.IEnumerable<System.Windows.Shell.JumpItem> items, bool showFrequent, bool showRecent)"
